verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO,year,artist,dimension_dominante,intensidad_max,decada,umap_x,umap_y,umap_z
"Costales verdes, kilos azules",0.0,0.0,0.0,0.0,2.0,0.0,2023.0,Peso Pluma,NA,2.0,2020.0,3.128594,1.180122,0.7303022
Cuando a caballo montaba,0.0,1.0,0.0,0.0,0.0,0.0,1978.0,Carlos Y Jose,MO,1.0,1970.0,5.741473,-1.4811916,2.1912138
Cuando da la voz de mando,0.0,0.0,0.0,2.0,0.0,0.0,2008.0,Los Tucanes De Tijuana,PO,2.0,2000.0,5.2574215,-1.0104513,-0.9333775
"Cuando llego el gatillero, montado en su camioneta",1.0,2.0,0.0,1.0,0.0,0.0,2008.0,Pesado,MO,2.0,2000.0,6.893568,0.05571693,1.6599209
"Cuando llego el pistolero, montado en su camioneta,",2.0,2.0,0.0,2.0,0.0,0.0,1983.0,Luis Y Julián,AR,2.0,1980.0,6.9448137,0.0020246864,1.5956914
"Cuando me encierro en el baño unos cuantos dias, salud con miel call it maple syrup pues parece el ligero de una mina te das un dap de esta mierda y tu cabeza gira, mira mira dolares mira ganando dolares de lunes a domingo todo el dia todo el dia",0.0,0.0,2.0,0.0,1.0,0.0,2015.0,Adan Cruz,DI,2.0,2010.0,2.8310447,0.3794397,0.103620045
Cuando un tiro de pistola,2.0,0.0,0.0,0.0,0.0,0.0,1997.0,Antonio Aguilar,AR,2.0,1990.0,7.2343388,-0.932821,-1.2422521
Cuando yo empecé me fue muy bien,0.0,0.0,1.0,0.0,1.0,0.0,2024.0,Tito Double P,DI,1.0,2020.0,4.2941227,-0.046324663,0.17092696
Cuando yo no tenía carro,0.0,1.0,0.0,0.0,0.0,0.0,2002.0,Joan Sebastian,MO,1.0,2000.0,6.241097,-0.29335308,1.8559759
Cuatro hombres habrá tirados,2.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,2.0,1980.0,6.5667615,-1.2385345,-1.1985168
"Cáele sin pedos. Sólo dime a cuanta gente traes, ok",0.0,0.0,0.0,1.0,0.0,0.0,2013.0,Tino El Pingüino,PO,1.0,2010.0,4.2728624,0.42478722,0.15744145
De ahí me cruzo pa'l gabacho por mota californiana,0.0,0.0,0.0,0.0,1.0,0.0,2022.0,Dharius,NA,1.0,2020.0,5.8642488,0.06336561,2.0646443
De arriba llego la orden,0.0,0.0,0.0,0.0,0.0,1.0,1997.0,Los Tucanes De Tijuana,GO,1.0,1990.0,4.750877,-0.5403029,-0.9523048
De calibres diferentes,1.0,0.0,0.0,0.0,0.0,0.0,1997.0,Grupo Exterminador,AR,1.0,1990.0,6.875168,-0.9476939,-1.2680213
De cruzar mi contrabando,0.0,2.0,0.0,0.0,0.0,0.0,2000.0,Exterminador,MO,2.0,2000.0,3.9415405,1.5571144,2.6520495
"De dos balazos certeros, el cráneo le atravesó",3.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,3.0,1980.0,7.152428,-1.9839885,-0.9585568
De dólares traiga pacas,0.0,0.0,2.0,0.0,0.0,0.0,,Los Tigres Del Norte,DI,2.0,2000.0,2.8018684,0.6810496,0.21085937
De gatilleros mafiosos,2.0,0.0,0.0,0.0,0.0,0.0,1996.0,Los Tucanes De Tijuana,AR,2.0,1990.0,6.6513815,-1.3729784,-1.3804389
De pues de abrirle su clave,0.0,0.0,0.0,1.0,0.0,0.0,2009.0,Sergio Vega,PO,1.0,2000.0,4.1772876,-0.94823384,-0.6349158
"Decían que estaba forrado, con un chaleco de malla",1.0,0.0,2.0,0.0,0.0,0.0,1980.0,Los Alegres De Terán,DI,2.0,1980.0,5.250735,-0.44705117,0.33365503
"Dejaba pueblos enteros, llenos de puros colgados",3.0,0.0,0.0,0.0,0.0,3.0,1980.0,Los Alegres De Terán,AR,3.0,1980.0,4.9971557,1.3758601,1.1231337
Dejaremos que hablen nuestras armas,2.0,0.0,0.0,0.0,0.0,0.0,2008.0,Los Cadetes De Linares,AR,2.0,2000.0,6.9996457,-0.7381965,-0.7355465
Descansen ya sus armas que nadie pidió una guerra,1.0,0.0,0.0,0.0,0.0,0.0,2019.0,Skool 77,AR,1.0,2010.0,6.8313255,-1.1492934,-0.2675626
Descubrí que en las calles es donde está el dinero,0.0,0.0,2.0,0.0,0.0,0.0,,Natanael Cano,DI,2.0,2000.0,2.930385,-0.32549268,-0.26869187
Desde Colombia la traen avionetas bien cargadas,0.0,2.0,0.0,0.0,2.0,0.0,1997.0,Vaquero's Musical,MO,2.0,1990.0,6.8015876,0.41749507,1.5259745
Dese muerto aunque mucho se esconda.,2.0,0.0,0.0,0.0,0.0,0.0,2012.0,Carlos Y Jose,AR,2.0,2010.0,6.1925197,-2.3967304,-0.51919043
"Después la balacera, el guilo quedaba muerto",3.0,0.0,0.0,0.0,0.0,0.0,1998.0,Chalino Sánchez,AR,3.0,1990.0,6.975425,-2.1690705,-0.83553195
"Diamante' en los dientes, Cartier en los lentes",0.0,0.0,3.0,0.0,0.0,0.0,2025.0,Natanael Cano,DI,3.0,2020.0,3.0444722,1.226623,-1.4602247
Diamantes en los arcillos,0.0,0.0,1.0,0.0,0.0,0.0,,Rich Vagos,DI,1.0,2000.0,3.0319319,1.2164885,-1.4621862
Dicen que me andan buscando,0.0,0.0,0.0,0.0,0.0,2.0,1997.0,Los Huracanes Del Norte,GO,2.0,1990.0,5.185656,-0.541547,-0.013351997
"Dicen que me andan buscando que me quieren agarrar,",0.0,0.0,0.0,0.0,0.0,2.0,2013.0,Valentín Elizalde,GO,2.0,2010.0,5.106222,-0.52552277,0.14482747
"Dicen que por california, se vio la troca mentada",0.0,1.0,0.0,0.0,0.0,0.0,1997.0,Los Huracanes Del Norte,MO,1.0,1990.0,5.3380966,0.16114697,0.8373825
"Diferentes mujeres de varios sabores, nomás no te me aloques",0.0,0.0,2.0,0.0,0.0,0.0,,Fuerza Regida,DI,2.0,2000.0,4.972032,1.2667395,-0.15786709
"Digital es el dinero, hey (yah)",0.0,0.0,1.0,0.0,0.0,0.0,,Natanael Cano,DI,1.0,2000.0,2.7597866,0.07949102,-0.3612078
Dijo el jefe de los federales,0.0,0.0,0.0,0.0,0.0,1.0,1996.0,Grupo Exterminador,GO,1.0,1990.0,5.250839,-0.6102956,-1.1191498
Dijo la esposa del jefe,0.0,0.0,0.0,1.0,0.0,0.0,1997.0,Los Tucanes De Tijuana,PO,1.0,1990.0,4.9767847,-1.0972785,-0.92658836
"Dios me perdone por matar a los que me tiran pero ninguno me lastima, gracias",2.0,0.0,0.0,0.0,0.0,0.0,2020.0,Rich Vagos,AR,2.0,2020.0,6.44541,-1.5531561,-0.37152752
"Dioses, drogas, TV, sangre, escuela, oro, odio, ego, muerte",0.0,0.0,3.0,0.0,0.0,0.0,,Mike Diaz,DI,3.0,2000.0,3.1514564,0.02081252,-0.37220433
"Dió principio la cuestión,",1.0,0.0,0.0,0.0,0.0,0.0,1985.0,Chayito Valdez,AR,1.0,1980.0,4.586735,-0.52437437,-0.23911166
Doble fondo al tanque ya está muy quemado,0.0,1.0,0.0,0.0,0.0,0.0,2013.0,El Komander,MO,1.0,2010.0,4.091038,-0.18501501,0.6826339
Dos tiros de gracia que aún me arden al acordarme,2.0,0.0,0.0,0.0,0.0,0.0,2006.0,Kartel De Las Calles,AR,2.0,2000.0,7.3829265,-1.345736,-1.3142978
Dos toneladas de mota,0.0,0.0,0.0,0.0,3.0,0.0,2008.0,Valentin Elizalde,NA,3.0,2000.0,5.971803,0.69192576,1.6181033
"Dígame, la gente del gobierno local",0.0,0.0,0.0,0.0,0.0,1.0,2006.0,Vico C,GO,1.0,2000.0,5.3445597,0.11516587,-1.7315019
Dólares se me revelan,0.0,0.0,1.0,0.0,0.0,0.0,,Los Tucanes De Tijuana,DI,1.0,2000.0,2.6580799,0.45698842,0.07577775
El Colorado se ha muerto ya nunca peleara y a los que a mi metaron ya nunca mas pelearan,2.0,0.0,0.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,AR,2.0,2010.0,6.6425343,-1.5038066,-0.14153837
El amo del contrabando,0.0,2.0,0.0,0.0,0.0,0.0,2002.0,"""El Piporro""",MO,2.0,2000.0,3.9178123,1.6453404,2.7303522
El carro es rojo con blanco,0.0,1.0,0.0,0.0,0.0,0.0,1984.0,Los Cadetes De Linares,MO,1.0,1980.0,6.3915105,-0.06845773,1.9206736
El comandante le dijo te voy a llevar prisionero...,0.0,0.0,0.0,0.0,0.0,1.0,1998.0,Los Huracanes Del Norte,GO,1.0,1990.0,5.2160544,-1.5975277,-0.64245725
El contrabando es un polvo,0.0,2.0,0.0,0.0,2.0,0.0,2008.0,Valentin Elizalde,MO,2.0,2000.0,3.8686328,1.5597022,2.7057633
El de las pacas de a kilo,0.0,0.0,0.0,0.0,2.0,0.0,1998.0,Grupo Exterminador,NA,2.0,1990.0,3.417783,1.3214614,0.78228325
El dinero es lo único verdadero,0.0,0.0,3.0,0.0,0.0,0.0,,Natanael Cano,DI,3.0,2000.0,2.5481265,-0.06559662,-0.18676649
El dinero es pa gastarlo no es pa tenerlo guardado si no de que me ha servido lo mucho que he trabajado sirvanle a todos mesera no he venido a pedir fiado con billetes en la bolsa lo que me sobra es la carne el pan me lo dejan fiado lo que me falta es el hambre antes que el mundo se acabe voy a vivir a lo grande,0.0,0.0,3.0,0.0,0.0,0.0,,Grupo Exterminador,DI,3.0,2000.0,2.6689334,0.025435843,0.2691869
El dinero se guarda en maleta',0.0,0.0,2.0,0.0,0.0,0.0,,Peso Pluma,DI,2.0,2000.0,2.662131,-0.15177955,-0.111453645
"El dinero, ah",0.0,0.0,1.0,0.0,0.0,0.0,,Wisin,DI,1.0,2000.0,2.6431775,0.05830419,-0.5039496
"El gallo es de oro me rallo ahorro pa que te lo presto ni pasas el porro, pasalo pasalo pasalo",0.0,0.0,0.0,0.0,1.0,0.0,,Adan Cruz,NA,1.0,2000.0,2.8113668,0.1836863,0.39282975
"El gobierno americano, ofrece muchos millones",0.0,0.0,0.0,0.0,0.0,2.0,2008.0,Valentin Elizalde,GO,2.0,2000.0,4.907545,0.17804623,-1.8935243
El nombre jamás se supo y aquel valiente muchacho cuentan que por Michoacán alegre se anda paseando gastando muchos billetes y otro viaje preparando,0.0,0.0,3.0,0.0,0.0,0.0,,Grupo Exterminador,DI,3.0,2000.0,2.1331184,-0.08315394,-0.23495306
El plan A era generar billetes,0.0,0.0,1.0,0.0,0.0,0.0,,Peso Pluma,DI,1.0,2000.0,1.7823468,0.0031695478,-0.43664968
El polvo empezó a gustarle,0.0,0.0,0.0,0.0,1.0,0.0,2009.0,Los Cadetes De Linares,NA,1.0,2000.0,3.8133404,0.23117171,2.1566346
El polvo me quita el sueño,0.0,0.0,0.0,0.0,1.0,0.0,1996.0,Grupo Exterminador,NA,1.0,1990.0,3.883187,0.28463244,2.15108
El polvo ya ni me pasa,0.0,0.0,0.0,0.0,1.0,0.0,2024.0,Tito Double P,NA,1.0,2020.0,3.919112,0.33458698,2.0786488
"Eleazar ya maliciaba, que lo querían matar",2.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,2.0,1980.0,6.2634673,-2.102476,-0.9685257
Ella solita se tira a matar,1.0,0.0,0.0,0.0,0.0,0.0,2025.0,Natanael Cano,AR,1.0,2020.0,6.481026,-2.058439,-1.1092473
Ellos se ponen su ropa de marca,0.0,0.0,1.0,0.0,0.0,0.0,2015.0,Millonario,DI,1.0,2010.0,5.6142597,0.39300233,-0.22559072
"Empezo a empuñar dinero, tambien empuño la fama",0.0,0.0,3.0,0.0,0.0,0.0,,Valentin Elizalde,DI,3.0,2000.0,3.0816226,0.11506377,-0.63271904
En 5 y 10 mil millones,0.0,0.0,1.0,0.0,0.0,0.0,,Los Tigres Del Norte,DI,1.0,2000.0,2.358688,0.3050069,-0.2985684
"En Jiménez, la muerte encontró",1.0,0.0,0.0,0.0,0.0,0.0,1984.0,Antonio Aguilar,AR,1.0,1980.0,6.419203,-2.6493256,-1.044368
"En Nueva York, visitando a mi joyero",0.0,0.0,3.0,0.0,0.0,0.0,2022.0,Rosalía,DI,3.0,2020.0,3.1272225,1.2160262,-1.3585981
En ese real de los reyes.,0.0,0.0,1.0,0.0,0.0,0.0,2000.0,Beto Quintanilla,DI,1.0,2000.0,5.3388834,-0.11443485,0.2356766
En esto del contrabando,0.0,2.0,0.0,2.0,0.0,0.0,1998.0,El Poder Del Norte,MO,2.0,1990.0,3.9233673,1.640047,2.7374232
"En la calle la moví, cocaína",0.0,2.0,0.0,0.0,2.0,0.0,2020.0,Alemán,MO,2.0,2020.0,5.280383,-0.07786509,1.3351473
En la frontera les temen,1.0,0.0,0.0,0.0,0.0,0.0,1988.0,Los Tigres Del Norte,AR,1.0,1980.0,5.98801,-0.67700315,-0.7398498
En las cachas trae su nombre,2.0,0.0,3.0,0.0,0.0,0.0,2003.0,Chalino Sánchez,DI,3.0,2000.0,5.403778,0.54989594,-0.48600262
En los Estados Unidos alla la compran por kilos,0.0,0.0,0.0,0.0,2.0,0.0,1997.0,Vaquero's Musical,NA,2.0,1990.0,3.6216075,1.0978415,1.059302
